"FR ID","Sub-requirement","Planned check","Status"
"FR-06","FR-06.1: The system shall support OPEN, ACKNOWLEDGED, INVESTIGATING, IDENTIFIED, MONITORING, RESOLVED, and CLOSED.","TC-FR-06.1: Walk the seven-state lifecycle and verify persisted/displayed statuses.","Planned - not run"
"FR-06","FR-06.2: Only authorized users or configured system actions shall be able to change the status.","TC-FR-06.2: Attempt state commands as Viewer and unauthenticated caller; reject without state/history changes.","Planned - not run"
"FR-06","FR-06.3: The system shall allow only approved transitions and record each accepted change with its actor and time.","TC-FR-06.3: Exercise each approved transition; verify actor/time and one accepted history entry.","Planned - not run"
"FR-06","FR-06.4: An invalid transition shall be rejected without changing the incident.","TC-FR-06.4: Exercise unlisted transitions and a stale version; reject with original state intact.","Planned - not run"
"FR-07","FR-07.1: The system shall notify the assigned responder in the application.","TC-FR-07.1: Create an incident; verify its assignee receives one readable in-app notification and another user cannot read it.","Planned - not run"
"FR-07","FR-07.2: Email or a Slack webhook may be added as an external notification channel.","TC-FR-07.2: If selected, send one external notification through a stub and verify the configured destination.","Optional - not selected"
"FR-07","FR-07.3: If an incident remains unacknowledged at the deadline and another escalation level exists, the system shall notify that level.","TC-FR-07.3: Advance time past a deadline; notify the next contact once and keep the existing assignee.","Planned - not run"
"FR-07","FR-07.4: Accepted acknowledgement shall cancel pending acknowledgement escalations.","TC-FR-07.4: Acknowledge, then run the poller; no further acknowledgement escalation fires; also test both commit orders in a race.","Planned - not run"
"FR-07","FR-07.5: If the incident remains unacknowledged after all levels are exhausted, the system shall notify the fallback contact and leave it open.","TC-FR-07.5: Exhaust all steps without acknowledgement; fallback is notified once, incident remains OPEN, and later acknowledgement still succeeds.","Planned - not run"
"FR-07","FR-07.6: Escalation deadlines shall be stored persistently and re-evaluated after restart.","TC-FR-07.6: Restart with an overdue task; process one step once and give the next contact a full waiting period.","Planned - not run"
"FR-07","FR-07.7: Before escalating, the system shall check the stored deadline and current incident record. Only an OPEN incident with no accepted acknowledgement shall be eligible.","TC-FR-07.7: Run the poller before due time and after acknowledgement/resolution; no ineligible escalation commits.","Planned - not run"
"FR-07","FR-07.8: Notification attempts, failures, and escalation events shall be recorded.","TC-FR-07.8: Verify successful notification/escalation history; induce a persistence failure and verify rollback plus an operational failure log.","Planned - not run"
"FR-07","FR-07.9: If external delivery is included, failures shall be visible for retry.","TC-FR-07.9: If an external channel is selected, simulate failure and verify visible retry status without changing incident status.","Optional - not selected"
"FR-08","FR-08.1: The system shall keep a timeline of alerts, status changes, assignments, comments, notifications, escalations, and response actions.","TC-FR-08.1: Create, alert, assign, comment, escalate and transition; verify the corresponding timeline entries.","Planned - not run"
"FR-08","FR-08.2: Each entry shall identify what happened, when, and who or what performed it.","TC-FR-08.2: Check actor/system identity, timestamp and event details on timeline entries.","Planned - not run"
"FR-08","FR-08.3: Corrections shall be added as new entries linked to the original entry. The original shall remain unchanged.","TC-FR-08.3: Add an amendment; original text stays unchanged and correction links to it.","Planned - not run"
"FR-09","FR-09.1: Authorized users shall be able to add comments, investigation findings, and updates to an incident.","TC-FR-09.1: Post two authorized comments concurrently; both survive and Incident version is unchanged by those inserts. COMMENT-CONCURRENT: repeat while a status change occurs and confirm comments do not cause version conflicts.","Planned - not run"
"FR-09","FR-09.2: These contributions shall remain available in the incident record and follow the incident's access permissions.","TC-FR-09.2: Reload comments after restart; authorized readers can view them and unauthorized requests are rejected.","Planned - not run"
"FR-10","FR-10.1: Responders shall be able to record suspected or confirmed causes, resolution steps, and evidence of recovery.","TC-FR-10.1: Save investigation findings and a recovery note; verify persistence and require the note before resolution.","Planned - not run"
"FR-10","FR-10.2: An incident may be resolved after recovery is verified even if its root cause is still unknown.","TC-FR-10.2: Move INVESTIGATING to MONITORING and RESOLVED with recovery evidence while cause remains unknown.","Planned - not run"
"FR-10","FR-10.3: The system shall allow responders to record corrective and preventive actions.","TC-FR-10.3: Create corrective/preventive action items and verify they remain linked to the incident postmortem.","Planned - not run"
"FR-11","FR-11.1: Users shall be able to prepare a postmortem containing the summary, impact, findings, timeline, resolution, and follow-up actions.","TC-FR-11.1: Save and reload summary, impact, findings, recovery and follow-up actions; reconcile omitted fields in the short data model.","Scope review - not run"
"FR-11","FR-11.2: The incident timeline shall be available while preparing the report.","TC-FR-11.2: Open postmortem preparation and verify the incident timeline is available.","Scope review - not run"
"FR-11","FR-11.3: Each action item shall have an owner, due date, and completion status.","TC-FR-11.3: Create an action item with owner, due date and status; due date must be restored to the short model or explicitly deferred.","Scope review - not run"
"FR-11","FR-11.4: The system may generate a draft from the incident timeline.","TC-FR-11.4: If selected, generate a timeline-based draft and require human review before saving it as final.","Optional - not selected"
"FR-12","FR-12.1: The dashboard shall show total, open, and resolved incidents, severity counts, and average response and resolution times.","TC-FR-12.1: Check counts against fixture records; average times are deferred in the short plan and need a scope decision.","Scope review - not run"
"FR-12","FR-12.2: Users shall be able to filter by date, severity, status, team, and service, and view each incident's owner and SLA indicators.","TC-FR-12.2: Verify service/status/severity filters and owner/SLA display; reconcile date/team filters before claiming full coverage.","Scope review - not run"
"FR-12","FR-12.3: Live updates may deliver saved changes without a manual refresh. The dashboard itself is in the initial scope; live updates are an extension.","TC-FR-12.3: If selected, save a change in one session and verify the connected board updates without manual refresh.","Optional - not selected"
"FR-13","FR-13.1: The system shall record incident changes, permission changes, and changes to service and escalation settings.","TC-FR-13.1: Change incident data and Admin configuration; verify incident timeline and configuration audit records.","Planned - not run"
"FR-13","FR-13.2: Each record shall identify the user or system actor, action, time, and affected item.","TC-FR-13.2: Check each audit entry contains actor, action, affected item and time.","Planned - not run"
"FR-13","FR-13.3: Existing audit entries shall not be editable through the application.","TC-FR-13.3: Attempt audit edits through application endpoints; existing entries cannot be overwritten.","Planned - not run"
"FR-14","FR-14.1: Authorized users shall be able to add and update services, their owners, criticality levels, and response and resolution targets.","TC-FR-14.1: Create/update service owner and targets; reconcile service criticality omitted from the short model.","Scope review - not run"
"FR-14","FR-14.2: Users may record service dependencies to support investigation.","TC-FR-14.2: If selected, save a service dependency and display it as a possible relationship, not proof of shared cause.","Deferred"
"FR-15","FR-15.1: Authorized users shall be able to assign responders to on-call time slots using one configured project time zone.","TC-FR-15.1: Create adjacent slots, reject overlapping slots, and check selected display zone and boundary interpretation.","Planned - not run"
"FR-15","FR-15.2: The system shall select the responder scheduled at the incident time, or use a configured fallback if no assignment exists.","TC-FR-15.2: Create at slot start, just before end, exactly at end and in a gap; verify the correct responder/fallback.","Planned - not run"
"FR-15","FR-15.3: Automatic rotations and temporary schedule overrides may be added.","TC-FR-15.3: If selected, test rotation boundaries and override precedence without changing historical assignments.","Deferred"
"FR-16","FR-16.1: The system shall maintain separate response and resolution clocks for each incident.","TC-FR-16.1: Verify response and resolution values progress independently and are both visible.","Planned - not run"
"FR-16","FR-16.2: Both clocks shall start at incident creation. The response clock shall stop at the first accepted acknowledgement; the resolution clock shall stop at accepted resolution.","TC-FR-16.2: Use a controlled clock; acknowledgement stops only response, resolution stops resolution, and both start at creation.","Planned - not run"
"FR-16","FR-16.3: The system shall calculate deadlines from the service targets and incident severity, display remaining time, and indicate breaches.","TC-FR-16.3: Verify fixed copied targets, remaining time and exact-deadline/beyond-deadline behavior; severity edits do not reset clocks.","Planned - not run"
"FR-16","FR-16.4: The initial version shall count elapsed time continuously.","TC-FR-16.4: Advance through night and weekend; all elapsed time counts.","Planned - not run"
"FR-16","FR-16.5: SLA pauses and business-hours calendars may be added after their rules are agreed.","TC-FR-16.5: If selected later, test agreed pause/calendar rules; no such rules are implemented in the initial plan.","Deferred"
"FR-17","FR-17.1: Responders shall be able to search previous incidents using keywords and filter by service or severity.","TC-FR-17.1: Search keywords and service; reconcile the older severity filter omitted from the short search description.","Scope review - not run"
"FR-17","FR-17.2: Results shall provide access to previous findings, fixes, and postmortems that the user is allowed to view.","TC-FR-17.2: Open a search result and read permitted findings, fix and postmortem.","Planned - not run"
"FR-18","FR-18.1: If included, local AI shall suggest investigation steps using the incident details and available previous records.","TC-FR-18.1: If selected, provide bounded prior-incident fixtures to local AI and verify a structured investigation suggestion.","Optional - not selected"
"FR-18","FR-18.2: Suggestions shall be labelled as AI-generated and identify the records used.","TC-FR-18.2: If selected, show AI label and referenced incident IDs; reject references absent from provided context.","Optional - not selected"
"FR-18","FR-18.3: Log and deployment analysis may be added when those data sources are available.","TC-FR-18.3: If selected later, test log/deployment retrieval against bounded fixtures.","Deferred"
"FR-18","FR-18.4: Users shall be able to continue manually when AI is unavailable.","TC-FR-18.4: If selected, timeout/fail AI and verify manual search and incident commands still work.","Optional - not selected"
"FR-19","FR-19.1: If AI suggestions are included, an authorized responder shall review them before acting. This control is required whenever that feature is included.","TC-FR-19.1: If selected, show suggestions for review; any chosen state change still uses normal authorized controls.","Optional - not selected"
"FR-19","FR-19.2: The system shall record whether a suggested action was accepted or rejected.","TC-FR-19.2: If AI is selected, settle how acceptance/rejection is stored, then verify both choices are attributed and persisted.","Scope review - not run"
"FR-19","FR-19.3: The system shall not automatically execute remediation.","TC-FR-19.3: Review endpoints and tools and try an AI command-like output; no automatic remediation is executed.","Planned - not run"
"FR-20","FR-20.1: If included, the system shall store deployment details and allow users to link incidents to deployments.","TC-FR-20.1: If selected later, record a deployment and link an incident using valid IDs.","Deferred"
"FR-20","FR-20.2: Reports may include Deployment Frequency, Lead Time for Changes, Change Failure Rate, and Mean Time to Restore using agreed definitions and available data.","TC-FR-20.2: If selected later, calculate each agreed DORA metric from known fixture inputs.","Deferred"
"FR-20","FR-20.3: Missing input data shall be shown as unavailable rather than reported as zero.","TC-FR-20.3: If selected later, remove metric inputs and verify unavailable is displayed rather than zero.","Deferred"
"FR-21","FR-21.1: If included, customer-facing updates shall be separate from internal incident notes.","TC-FR-21.1: If selected later, verify a public update excludes internal-only incident notes.","Deferred"
"FR-21","FR-21.2: Only authorized users shall approve and publish external updates.","TC-FR-21.2: If selected later, reject publication by an unauthorized user and record authorized approval.","Deferred"
"FR-22","FR-22.1: If included, the system shall check configured service endpoints and raise an alert after a configured failure threshold.","TC-FR-22.1: If selected, simulate the configured number of failed checks and verify a deduplicated alert.","Optional - not selected"
"FR-22","FR-22.2: Recovery shall update the matching alert.","TC-FR-22.2: If selected, simulate recovery and update the matching alert without automatically resolving the incident.","Optional - not selected"
"FR-22","FR-22.3: Automatic incident resolution shall require an explicit recovery rule.","TC-FR-22.3: Initial version: health-check recovery must not auto-resolve an incident; any future auto-resolution requires a separately approved rule.","Optional - not selected"
